time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
24.0,0.187198,0.294539,-0.082246,0.23442,-0.115597,-0.2135989999999999
24.02,0.188215,0.294656,-0.081855,0.234404,-0.115425,-0.213567
24.04,0.189002,0.294782,-0.08165,0.2344929999999999,-0.115252,-0.213444
24.06,0.189568,0.294829,-0.081627,0.2347969999999999,-0.115224,-0.213315
24.08,0.1898619999999999,0.294898,-0.081644,0.2350989999999999,-0.115142,-0.2132349999999999
24.1,0.189866,0.294912,-0.081871,0.2353469999999999,-0.1151809999999999,-0.213206
24.12,0.189601,0.2948989999999999,-0.0820289999999999,0.2354389999999999,-0.1150849999999999,-0.213277
24.14,0.189163,0.294832,-0.082254,0.235546,-0.1150619999999999,-0.213327
24.16,0.18862,0.294766,-0.0824169999999999,0.235627,-0.114894,-0.213384
24.18,0.188114,0.294694,-0.082645,,,
24.2,,,,0.235857,-0.114604,-0.213505
24.22,0.187395,0.294511,-0.08301,0.236126,-0.1145849999999999,-0.213586
24.24,0.187291,0.294414,-0.083191,0.236555,-0.1145849999999999,-0.213717
24.26,,,,0.237277,-0.114764,-0.213856
24.28,0.187525,0.2942929999999999,-0.083712,0.238101,-0.114579,-0.2139239999999999
24.3,0.187798,0.294247,-0.083938,0.239112,-0.114172,-0.214034
24.32,0.188094,0.294162,-0.084046,0.240301,-0.1137089999999999,-0.214337
24.34,0.188382,0.294049,-0.084289,0.24189,-0.113688,-0.2148139999999999
24.36,0.188608,0.294066,-0.084309,0.243466,-0.1140369999999999,-0.2154039999999999
24.38,,,,0.245244,-0.114554,-0.21638
24.4,,,,,,
24.42,0.1892319999999999,0.294519,-0.083907,0.24836,-0.1162319999999999,-0.219038
24.44,0.189651,0.294702,-0.083401,,,
24.46,0.190001,0.294986,-0.082851,0.250743,-0.114517,-0.220419
24.48,0.1901769999999999,0.295426,-0.082241,0.252774,-0.1144369999999999,-0.220734
24.5,0.190361,0.295722,-0.081889,0.254807,-0.114506,-0.2207849999999999
24.52,0.190516,0.2959699999999999,-0.081554,0.2565699999999999,-0.114356,-0.220673
24.54,0.190698,0.295982,-0.081587,0.2576179999999999,-0.11457,-0.220691
24.56,0.190911,0.2959,-0.081698,,,
24.58,0.1910869999999999,0.295757,-0.082062,0.258875,-0.11441,-0.22077
24.6,0.191126,0.295693,-0.082363,0.259876,-0.113991,-0.220336
24.62,0.191132,0.295635,-0.082704,0.261001,-0.114363,-0.219727
24.64,0.191,0.295649,-0.082782,0.262411,-0.115141,-0.218932
24.66,0.1907039999999999,0.295729,-0.082747,,,
24.68,0.190292,0.2958989999999999,-0.0824179999999999,0.264219,-0.115881,-0.2181409999999999
24.7,0.189818,0.296116,-0.08216,0.264735,-0.115873,-0.218069
24.72,0.189421,0.296328,-0.081923,0.265598,-0.115794,-0.218022
24.74,0.189176,0.296388,-0.082018,0.266396,-0.115801,-0.217959
24.76,0.189136,0.296351,-0.082238,0.267602,-0.116223,-0.217636
